"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"PKU Sem1 文学课/生词","侧笔","cèbǐ","N. (calligraphy) writing with a brush on paper at a slanting angle","N. (calligraphy) writing with a brush on paper at a slanting angle","名","","中性","","","","",""
"PKU Sem1 文学课/生词","偏食","piānshí","partial to (some kinds of food, usu. unhealthy)；having likes and dislikes；partial eclipse","partial to (some kinds of food, usu. unhealthy)；having likes and dislikes；partial eclipse","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","做寿","zuò shòu","celebrate the birthday (usu. of the elderly)；hold a birthday party","celebrate the birthday (usu. of the elderly)；hold a birthday party","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","僭越","jiànyuè","usurp；overstep one's authority","to usurp；to overstep one's authority","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","僵","jiāng","stiff；numb；deadlocked V. set sb. on；dare sb；rigid；deadlock","stiff；numb；deadlocked V. set sb. on；dare sb；rigid；deadlock；stiff (corpse)","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","光荣","guāngróng","形容honor and glory；形容glorious","honor and glory；glorious","形","","褒义","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","八仙","bāxiān","the Eight Immortals","the Eight Immortals","名","","中性","","","","",""
"PKU Sem1 文学课/生词","册页","cèyè","album of paintings or calligraphy","album of paintings or calligraphy","名","","中性","","","","",""
"PKU Sem1 文学课/生词","冒失","màoshi","rash；abrupt","rash；abrupt","名","说话冒失","中性","说话冒失 shuōhuà màoshi speak without due consideration 这样冒冒失失去找他可不好。","Zhèyàng màomàoshishi qù zhǎo tā kě bù hǎo.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","冷不防","lěngbufáng","ADV. unawares；suddenly 他冷不防地说“我去!” Tā lěngbufáng de shuō “wǒ qù!” He suddenly said “I'll go!”；unexpectedly；suddenly","ADV. unawares；suddenly 他冷不防地说“我去!” Tā lěngbufáng de shuō “wǒ qù!” He suddenly said “I'll go!”；unexpectedly；suddenly；at unawares；off guard；against expectations","名","他冷不防地说","中性","","Tā lěngbufáng de shuō “wǒ qù!","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","凉飕飕","liángsōusōu","(of wind) chilly","(of wind) chilly","名","感到凉飕飕的","中性","我没穿大衣, 感到凉飕飕的。","I feel chilly without a coat.","","",""
"PKU Sem1 文学课/生词","凌厉","línglì","S.V. swift and fierce；relentless；swift and fierce；fierce","S.V. swift and fierce；relentless；swift and fierce；fierce；forceful","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","凌晨","língchén","very early in the morning；in the wee hours","very early in the morning；in the wee hours","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","凝视","níngshì","gaze fixedly；to gaze at；to fix one's eyes on","gaze fixedly；to gaze at；to fix one's eyes on","名","","中性","我久久地凝视着那尊铜像。","Wǒ jiǔjiǔ de níngshì zhe nà zūn tóngxiàng.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","分外","fènwài","especially；particularly；beyond one's duty；undeservedly","especially；particularly；beyond one's duty；undeservedly","名","我分外高兴","中性","找到丢失的钱包, 我分外高兴。","Zhǎodào diūshī de qiánbāo, wǒ fènwài gāoxìng.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","刨","páo","dig；excavate；(coll.) to exclude；not to count","to dig；to excavate；(coll.) to exclude；not to count；to deduct；to subtract","动","","口语","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","刹那","chànà","N. instant；split second","N. instant；split second","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","劝酒","quànjiǔ","O. urge to drink","O. urge to drink","名","","中性","","","","",""
"PKU Sem1 文学课/生词","势利","shìlì","snobbish","snobbish","名","","中性","","","","",""
"PKU Sem1 文学课/生词","勒","lēi","strap tightly；bind；(literary) bridle；halter；headstall；rein in","to strap tightly；to bind；(literary) bridle；halter；headstall；to rein in；to compel；to force；(literary) to carve；to engrave；(literary) to command；to lead (an army etc)；(physics) lux (abbr. for 勒克斯 )","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","勾人","gōurén","sexy；seductive","sexy；seductive","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","匋","táo","pottery","pottery","名","","中性","","","","",""
"PKU Sem1 文学课/生词","匹配","pǐpèi","mate or marry；match；matching；compatible","to mate or marry；to match；matching；compatible","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","卓","zhuó","NAME outstanding","NAME outstanding","名","","中性","","","","",""
"PKU Sem1 文学课/生词","单位","dānwèi","unit (as a standard of measurement) 单位成本 dānwèi chéngběn unit cost 单位面积产量 dānwèi miànji chǎnliàng yield per unit-area 长度单位 chángdù dānwèi unit of length 货币单位 huòbì dānwèi monetary unit 以秒为单位计算时间 yǐ miǎo wéi dānwèi jìsuàn shíjiān measure time by the second；unit (such as an organization, department, division, section, etc.) 基层单位 jīcéng dānwèi basic (or grass-roots) unit 生产单位 shēngchǎn dānwèi production unit 行政单位 xíngzhèng dānwèi administrative unit；unit (of measure)；unit (group of people as a whole)","unit (as a standard of measurement) 单位成本 dānwèi chéngběn unit cost 单位面积产量 dānwèi miànji chǎnliàng yield per unit-area 长度单位 chángdù dānwèi unit of length 货币单位 huòbì dānwèi monetary unit 以秒为单位计算时间 yǐ miǎo wéi dānwèi jìsuàn shíjiān measure time by the second；unit (such as an organization, department, division, section, etc.) 基层单位 jīcéng dānwèi basic (or grass-roots) unit 生产单位 shēngchǎn dānwèi production unit 行政单位 xíngzhèng dānwèi administrative unit；unit (of measure)；unit (group of people as a whole)；work unit (place of employment, esp. in the PRC prior to economic reform)；CL:個|个","名","单位成本；单位面积产量；长度单位；货币单位","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","历数","lìshǔ","V. count one by one；天堂；(literary) movements of celestial bodies；destiny","V. count one by one；enumerate N. Heaven's will；(literary) movements of celestial bodies；destiny；calendar system","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","厉声","lìshēng","literary in a stern voice 厉声斥责 lìshēngchìzé rebuke in a stern voice","literary in a stern voice 厉声斥责 lìshēngchìzé rebuke in a stern voice","名","厉声斥责","中性","","","","",""
"PKU Sem1 文学课/生词","压抑","yāyì","constrained；depressed；low-spirited 心情压抑 xīnqíng yāyì feel constrained (or oppressed) 胸口感到压抑 Xiōngkǒu gǎndào yāyì feel tight in the chest；repressive；to constrain or repress emotions；oppressive","constrained；depressed；low-spirited 心情压抑 xīnqíng yāyì feel constrained (or oppressed) 胸口感到压抑 Xiōngkǒu gǎndào yāyì feel tight in the chest；repressive；to constrain or repress emotions；oppressive；stifling；depressing；repression","名","压抑群众的积极性；心情压抑；胸口感到压抑","中性","压抑群众的积极性 yāyì qúnzhòng de jījíxìng inhibit the initiative of the masses  adjective 1 constrained; depressed; low-spirited 心情压抑 xīnqíng yāyì feel constrained (or oppressed) 胸口感到压抑 Xiōngkǒu gǎndào yāyì feel tight in the chest 2 repressive 这部影片气氛比较压抑。","Xiōngkǒu gǎndào yāyì feel tight in the chest 2 repressive 这部影片气氛比较压抑。 Zhè bù yǐngpiàn qìfēn bǐjiào yāyì.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","叉","chā","fork；intersection；cross；X；pitchfork","fork；intersection；cross；X；pitchfork；prong；pick；intersect；""X""","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","双臂","shuāngbì","arms；both arms；two arms","arms；both arms；two arms","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","变态","biàntài","metamorphose (biology)；abnormal；perverted；hentai","to metamorphose (biology)；abnormal；perverted；hentai；(slang) pervert","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","可恶","kěwù","repulsive；vile；hateful；abominable","repulsive；vile；hateful；abominable","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","叼","diāo","hold with one's mouth (as a smoker with a cigarette or a dog with a bone)","to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","吃醋","chī cù","be jealous (usu. of a rival in love)","be jealous (usu. of a rival in love)","名","","中性","他不过请你女朋友跳了两次舞, 你吃什么醋啊！","Tā buguò qǐng nǐ nǚpéngyou tiào le liǎng cì wǔ, nǐ chī shénme cù a!","","",""
"PKU Sem1 文学课/生词","吆","yāo","cry out；to shout；to bawl；to yell (to urge on an animal)","cry out；to shout；to bawl；to yell (to urge on an animal)；to hawk (one's wares)","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","吉","jí","lucky；short name for Jilin 吉林[Ji2 lin2]；surname Ji","lucky；short name for Jilin 吉林；surname Ji","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","名分","míngfèn","(of a person) status","(of a person) status","名","","中性","","","","",""
"PKU Sem1 文学课/生词","吮","shǔn","B.F. suck in shǔnxī","B.F. suck in shǔnxī","名","","中性","","","","",""
"PKU Sem1 文学课/生词","吹口哨","chuīkǒushào","whistle","to whistle","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","吻别","wěnbié","kiss sb. goodbye","kiss sb. goodbye","名","","中性","","","","",""
"PKU Sem1 文学课/生词","周全","zhōuquán","help attain a goal；comprehensive；thorough；to bring one's help","help attain a goal；comprehensive；thorough；to bring one's help；to assist","名","谢谢你周全我们","中性","谢谢你周全我们。","Xièxie nǐ zhōuquán wǒmen.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","周身","zhōushēn","P.W. whole body；all over the body","P.W. whole body；all over the body","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","呼啸","hūxiào","V. whistle；scream；whiz","V. whistle；scream；whiz","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","命令","mìnglìng","order；command 命令式的口气 mìnglìng shì de kǒuqì commanding tone；peremptory 下命令 xià mìnglìng issue an order 服从命令 fúcóng mìnglìng obey orders；command；CL:道[dao4],個|个[ge4]","order；command 命令式的口气 mìnglìng shì de kǒuqì commanding tone；peremptory 下命令 xià mìnglìng issue an order 服从命令 fúcóng mìnglìng obey orders；command；CL:道 ,個|个","名","命令式的口气；下命令；服从命令；命令","中性","命令式的口气 mìnglìng shì de kǒuqì commanding tone; peremptory 下命令 xià mìnglìng issue an order 服从命令 fúcóng mìnglìng obey orders 2 computing command ＤＯＳ命令 ＤＯＳmìnglìng DOS command  verb order; command 连长命令一排担任警戒。","DOS command  verb order; command 连长命令一排担任警戒。 Liánzhǎng mìnglìng yī pái dānrèn jǐngjiè.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","咣当","guāngdāng","onomatopoeia bang；crash 碰得咣当咣当响 Pèng de guāngdāngguāngdāng xiǎng bang against each other","onomatopoeia bang；crash 碰得咣当咣当响 Pèng de guāngdāngguāngdāng xiǎng bang against each other","名","碰得咣当咣当响","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","咬","yǎo","bite；snap at 咬不动 yǎobudòng too tough to bite (or chew) 咬一口 yǎo yī kǒu take a bite 咬嘴唇 yǎo zuǐchún bite one’s lips；grip；(of a dog) bark 鸡叫狗咬 Jī jiào gǒu yǎo cocks crow and dogs bark；incriminate another person (usu. innocent) when blamed or interrogated","bite；snap at 咬不动 yǎobudòng too tough to bite (or chew) 咬一口 yǎo yī kǒu take a bite 咬嘴唇 yǎo zuǐchún bite one’s lips；grip；(of a dog) bark 鸡叫狗咬 Jī jiào gǒu yǎo cocks crow and dogs bark；incriminate another person (usu. innocent) when blamed or interrogated；dialect corrode (metals)；irritate (the skin) or；pronounce；articulate；be nitpicking (about the use of words) See；close in on；press on towards；advance on","名","咬不动；咬一口；咬嘴唇；鸡叫狗咬","中性","咬不动 yǎobudòng too tough to bite (or chew) 咬一口 yǎo yī kǒu take a bite 咬嘴唇 yǎo zuǐchún bite one’s lips 2 grip; bite 这个旧螺母咬不住扣儿了。","Zhè ge jiù luómǔ yǎo bùzhù kòur le.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","品评","pǐnpíng","V. judge；comment on；appraise；rate","V. judge；comment on；appraise；rate","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","喘","chuǎn","V. gasp for breath；to gasp；to pant；asthma","V. gasp for breath；to gasp；to pant；asthma","名","我一跑就喘","中性","我一跑就喘。","Wǒ yī̠ pǎo jiù chuǎn.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","喘息","chuǎnxī","breather；breathing spell；respite；med. asthma","breather；breathing spell；respite；med. asthma","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","喧哗","xuānhuá","N. | V. hubbub；hubbub；clamor；to make a racket","N. | V. hubbub；hubbub；clamor；to make a racket","名","请不要大声喧哗","中性","请不要大声喧哗。","Qǐng bụ̀yào dàshēng xuānhuá.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","喽啰","lóuluó","rank and file member of an outlaw gang；(fig.) underling；minion；small fry","rank and file member of an outlaw gang；(fig.) underling；minion；small fry","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","嗅","xiù","smell；scent；to smell；to sniff","smell；scent；to smell；to sniff；to nose","名","警犬嗅来嗅去","中性","警犬嗅来嗅去, 终于找到了踪迹。","Jǐngquǎn xiù lái xiù qù, zhōngyú zhǎodào le zōngjì.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","嘴","zuǐ","mouth；beak；nozzle；spout (of teapot etc)","mouth；beak；nozzle；spout (of teapot etc)；CL:張|张 ,個|个","名","","中性","","","一词多义，结合上下文判断具体义项。","","张；个"
"PKU Sem1 文学课/生词","噼啪","pīpā","onomatopoeia sound of crackling, etc；pit-a-pat","onomatopoeia sound of crackling, etc；pit-a-pat","名","把鞭子抽得噼啪响","中性","把鞭子抽得噼啪响 bǎ biānzi chōu de pīpā xiǎng crack a whip 孩子们劈劈啪啪地鼓起掌来。","Háizi men pīpīpāpā de gǔ qǐ zhǎng lái.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","噼里啪啦","pīlipālā","onomatopoeia popping (or crackling) sound","onomatopoeia popping (or crackling) sound","名","鞭炮噼里啪啦地响","中性","鞭炮噼里啪啦地响。","The firecrackers were crackling and spluttering.","","",""
"PKU Sem1 文学课/生词","团","tuán","unite；assemble in tuánjié , tuánjù；roundish mass；lump in tuánzi；group；society；organization in shètuán；topo. dumpling in tāngtuán","unite；assemble in tuánjié , tuánjù；roundish mass；lump in tuánzi；group；society；organization in shètuán；topo. dumpling in tāngtuán；round；circular N. regiment AB. Gòngqīngtuán M. ball (of wool)；lump (of dough)；lump；ball；to roll into a ball；to gather；regiment；classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)","名","","中性","","Gòngqīngtuán  M.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","围腰","wéiyāo","girdle；loincloth；topo. apron","girdle；loincloth；topo. apron","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","在意","zàiyì","care about；mind","to care about；to mind","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","壁","bì","wall in ¹qiángbì；cliff in qiàobì；rampart；breastwork in bìlěi N. Surname","wall in ¹qiángbì；cliff in qiàobì；rampart；breastwork in bìlěi N. Surname","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","大","dà","ADJT big；big；large；great；older (than another person)；eldest (as in 大姐[da4 jie3])","ADJT big；big；large；great；older (than another person)；eldest (as in 大姐 )；greatly；freely；fully；(dialect) father；(dialect) uncle (father's brother)","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","大串联","dàchuànlián","N. big link-up of Red Guards during the Cultural Revolution","N. big link-up of Red Guards during the Cultural Revolution","名","","中性","","","","",""
"PKU Sem1 文学课/生词","大致","dàzhì","roughly；approximately；rough；vague 大致的了解 dàzhì de liǎojiě a sketchy knowledge of sth. 大致的想法 dàzhì de xiǎngfa vague ideas","roughly；approximately；rough；vague 大致的了解 dàzhì de liǎojiě a sketchy knowledge of sth. 大致的想法 dàzhì de xiǎngfa vague ideas","名","大致相同；大致的了解；大致的想法","中性","大致相同 dàzhì xiāngtóng roughly (or about) the same 小孩儿大致在一岁左右开始学走路。","Babies usually learn to walk when they are about one year old.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","失礼","shīlǐ","act discourteously；forgive me (for my impropriety)","to act discourteously；forgive me (for my impropriety)","动","","贬义","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","失落","shīluò","lose (sth)；drop (sth)；feel a sense of loss；frustrated","to lose (sth)；to drop (sth)；to feel a sense of loss；frustrated；disappointment；loss","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","失踪","shīzōng","be missing；disappear；账户","to be missing；to disappear；unaccounted for","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","奖励","jiǎnglì","encourage and reward；award 奖励不封顶 jiǎnglì bù fēngdǐng abolish the ceiling on bonuses 奖励发明创造 jiǎnglì fāmíng chuàngzào encourage innovations by giving awards 奖励模范工作者 jiǎnglì mófàn gōngzuòzhě give awards to model workers 精神奖励 jīngshén jiǎnglì moral encouragement 物质奖励 wùzhì jiǎnglì material reward","encourage and reward；award 奖励不封顶 jiǎnglì bù fēngdǐng abolish the ceiling on bonuses 奖励发明创造 jiǎnglì fāmíng chuàngzào encourage innovations by giving awards 奖励模范工作者 jiǎnglì mófàn gōngzuòzhě give awards to model workers 精神奖励 jīngshén jiǎnglì moral encouragement 物质奖励 wùzhì jiǎnglì material reward","名","奖励不封顶；奖励发明创造；奖励模范工作者；精神奖励","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","套牢","tàoláo","immobilize with a lasso；be trapped in the stock market","to immobilize with a lasso；to be trapped in the stock market","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","好歹","hǎodǎi","good and bad；mishap；disaster in any case；anyhow；regardless；by hook or by crook；most unfortunate occurrence；in any case","good and bad；mishap；disaster in any case；anyhow；regardless；by hook or by crook；most unfortunate occurrence；in any case；whatever","名","","中性","咱们好歹吃点儿得了。","Zánmen hạ̌odǎi chī diǎnr dé le.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","妯娌","zhóuli","N. wives of one's brothers；sisters-in-law","N. wives of one's brothers；sisters-in-law","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","娘娘腔","niángniangqiāng","N. | S.V. womanish mannerism/speech；sissy；effeminate","N. | S.V. womanish mannerism/speech；sissy；effeminate","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","嫁","jià","(of a woman) marry (opp；marry off a daughter；shift (a blame, loss, burden, etc.) 转嫁 zhuǎnjià shift；transfer","(of a woman) marry (opp；marry off a daughter；shift (a blame, loss, burden, etc.) 转嫁 zhuǎnjià shift；transfer","名","她嫁了个的哥；转嫁","中性","娶) 她嫁了个的哥。","Tā jià le ge dīgē.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","嫉妒","jídù","be jealous of；envy","to be jealous of；to envy","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","嫣然","yānrán","gayly；graciously；beautiful；sweet","gayly；graciously；beautiful；sweet；engaging","名","","贬义","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","存心","cúnxīn","O. cherish certain intentions ADV. intentionally","O. cherish certain intentions ADV. intentionally","名","他存心跟我捣乱","褒义","他存心跟我捣乱。","Tā cúnxīn gēn wǒ dǎoluàn.","","",""
"PKU Sem1 文学课/生词","孝顺","xiàoshùn","show filial obedience；offer a present to a superior；filial；dutiful","show filial obedience；offer a present to a superior；filial；dutiful；devoted to one's parents (and grandparents etc)；to show filial piety towards (an older family member)；filial piety","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","孤寡","gūguǎ","orphans and widows；to be lonely；loneliness","orphans and widows；to be lonely；loneliness","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","孤立","gūlì","isolate；isolated；unrelated；irrelevant","to isolate；isolated；unrelated；irrelevant","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","宅门","zháimén","gate to a residence","gate to a residence","动","","中性","","","","",""
"PKU Sem1 文学课/生词","安慰","ānwèi","comforted；encouraged tīng le zhèxiē huà wǒ xīnli hěn ānwèi. or；consoling；placatory 安慰信 ānwèi xìn consoling letter","comforted；encouraged tīng le zhèxiē huà wǒ xīnli hěn ānwèi. or；consoling；placatory 安慰信 ānwèi xìn consoling letter","名","无济于事的安慰；给某人小小的安慰；从工作中得到安慰；安慰病人","中性","无济于事的安慰 Wújìyúshì de'ānwèi cold comfort 给某人小小的安慰 gěi mǒurén xiǎoxiǎo de'ānwèi offer sb. a crumb of comfort 从工作中得到安慰 cóng gōngzuò zhōng dédào ānwèi find (or take, derive) comfort in one’s work  verb comfort; console 安慰病人 ānwèi bìngrén extend sympathy to a patient; comfort a patient 安慰哭泣的孩子 ānwèi kūqì de háizi comfort a weeping child 安慰某人几句 ānwèi mǒurén jǐ jù say a few words of comfort; say some consoling words 用音乐自我安慰 yòng yīnyuè zìwǒ ānwèi console oneself with music  adjective 1 comforted; encouraged 听了这些话我心里很安慰。","Wújìyúshì de'ānwèi cold comfort 给某人小小的安慰 gěi mǒurén xiǎoxiǎo de'ānwèi offer sb.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","宴席","yànxí","banquet；feast 祝寿宴席 zhùshòu yànxí birthday banquet","banquet；feast 祝寿宴席 zhùshòu yànxí birthday banquet","名","祝寿宴席","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","家伙","jiāhuo","household dish, implement or furniture；domestic animal；(coll.) guy；chap","household dish, implement or furniture；domestic animal；(coll.) guy；chap；weapon","名","","口语","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","寡","guǎ","few；scant in guǎyán；口味；滋味；widowed in ¹guǎfu","few；scant in guǎyán；tasteless in guǎwèi；widowed in ¹guǎfu","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","寡欢","guǎhuān","joyless；unhappy 郁郁寡欢 yùyùguǎhuān depressed；melancholy","joyless；unhappy 郁郁寡欢 yùyùguǎhuān depressed；melancholy","名","郁郁寡欢","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","寥落","liáoluò","sparse；few and far between","sparse；few and far between","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","小叔子","xiǎoshūzi","colloquial husband's younger brother；brother-in-law","colloquial husband's younger brother；brother-in-law","名","","口语","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","尖叫","jiānjiào","V. scream","V. scream","名","","中性","","","","",""
"PKU Sem1 文学课/生词","崇敬","chóngjìng","revere；venerate；high esteem","to revere；to venerate；high esteem","动","","褒义","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","巅峰","diānfēng","summit；apex；pinnacle (of one's career etc)；peak (of a civilization etc)","summit；apex；pinnacle (of one's career etc)；peak (of a civilization etc)","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","左侧","zuǒcè","the left side","the left side","名","","中性","","","","",""
"PKU Sem1 文学课/生词","巧遇","qiǎoyù","encounter by chance","encounter by chance","名","","中性","","","","",""
"PKU Sem1 文学课/生词","幅度","fúdù","width；extent；range；scope","width；extent；range；scope","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","平缓","pínghuǎn","(of the terrain, flow of water, etc.) gentle；smooth；mild；placid；gentle 平缓的语调 Pínghuǎn de yǔdiào mild tone","(of the terrain, flow of water, etc.) gentle；smooth；mild；placid；gentle 平缓的语调 Pínghuǎn de yǔdiào mild tone","名","地势平缓；水流平缓；平缓的语调","中性","地势平缓。","Dìshì pínghuǎn.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","平衡","pínghéng","balance；equilibrium 保持平衡 bǎochí pínghéng maintain one’s equilibrium；keep one’s balance 失去平衡 shīqù pínghéng lose one’s balance；in a state of imbalance 收支平衡 shōu-zhī pínghéng balance between income and expenditure","balance；equilibrium 保持平衡 bǎochí pínghéng maintain one’s equilibrium；keep one’s balance 失去平衡 shīqù pínghéng lose one’s balance；in a state of imbalance 收支平衡 shōu-zhī pínghéng balance between income and expenditure；balance of payments bring into or keep in equilibrium","名","保持平衡；失去平衡；收支平衡","中性","保持平衡 bǎochí pínghéng maintain one’s equilibrium; keep one’s balance 失去平衡 shīqù pínghéng lose one’s balance; in a state of imbalance 收支平衡 shōu-zhī pínghéng balance between income and expenditure; balance of payments  verb bring into or keep in equilibrium; balance 逐渐在全国平衡工业布局 zhújiàn zài quánguó pínghéng gōngyè bùjú gradually distribute industry evenly all over the country 咱们组的计划还要跟别的组平衡一下。","Zánmen zǔ de jìhuà hái yào gēn bié de zǔ pínghéng yīxià.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","应酬","yìngchou","have social intercourse with；treat with courtesy , trad；dinner party；药膏","have social intercourse with；treat with courtesy , trad；dinner party；social appointments","名","你去应酬一下；他有很多应酬","中性","我太忙, 你去应酬一下。","Wǒ tài máng, nǐ qù yìngchou yị̄xià.","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","廊","láng","B.F. porch；corridor in zǒuláng；corridor；veranda","B.F. porch；corridor in zǒuláng；corridor；veranda；porch","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","开拔","kāibá","set out (of troops)；departure；start date (of military expedition)","to set out (of troops)；departure；start date (of military expedition)","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"PKU Sem1 文学课/生词","彩屏","cǎipíng","N. ornamental screens；multicolored screens","N. ornamental screens；multicolored screens","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"PKU Sem1 文学课/生词","径","jìng","path；track in xiǎojìng；diameter in zhíjìng ADV. directly；straight；footpath；track","path；track in xiǎojìng；diameter in zhíjìng ADV. directly；straight；footpath；track；diameter；directly","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
